# console attached  10:03:52
# move a finger on the trackpad. Ctrl-C to stop.
10:07:52 tp raw=-1,-3 out=0,0 hv=0,0
10:07:52 tp raw=-2,-2 out=0,0 hv=0,0
10:07:52 tp raw=-2,0 out=0,0 hv=0,0
10:07:52 tp raw=-2,-1 out=0,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=-1,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=-4,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=-1,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=-2,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=-2,-1 out=0,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=7,-1 out=3,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:52 tp raw=-5,-2 out=0,0 hv=0,0
10:07:52 tp raw=-7,-13 out=-3,-7 hv=0,0
10:07:52 tp raw=0,-12 out=0,-6 hv=0,0
10:07:52 tp raw=0,-13 out=0,-7 hv=0,0
10:07:52 tp raw=-3,-11 out=0,-5 hv=0,0
10:07:52 tp raw=-2,-5 out=0,0 hv=0,0
10:07:52 tp raw=-2,-7 out=0,-3 hv=0,0
10:07:52 tp raw=0,-6 out=0,-3 hv=0,0
10:07:52 tp raw=0,-9 out=0,-4 hv=0,0
10:07:52 tp raw=-3,-4 out=0,0 hv=0,0
10:07:52 tp raw=-4,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-5 out=0,0 hv=0,0
10:07:52 tp raw=-1,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-5 out=0,0 hv=0,0
10:07:52 tp raw=-2,-8 out=0,-4 hv=0,0
10:07:52 tp raw=-2,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-2 out=0,0 hv=0,0
10:07:52 tp raw=0,-3 out=0,0 hv=0,0
10:07:52 tp raw=0,-4 out=0,0 hv=0,0
10:07:52 tp raw=-1,-1 out=0,0 hv=0,0
10:07:52 tp raw=-4,-2 out=0,0 hv=0,0
10:07:52 tp raw=-2,-1 out=0,0 hv=0,0
10:07:52 tp raw=-3,-4 out=0,0 hv=0,0
10:07:52 tp raw=0,-1 out=0,0 hv=0,0
10:07:53 tp raw=-2,-5 out=0,0 hv=0,0
10:07:53 tp raw=0,-7 out=0,-3 hv=0,0
10:07:53 tp raw=5,-2 out=0,0 hv=0,0
10:07:53 tp raw=-5,-1 out=0,0 hv=0,0
10:07:53 tp raw=-1,-2 out=0,0 hv=0,0
10:07:53 tp raw=0,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=-2,-2 out=0,0 hv=0,0
10:07:53 tp raw=-2,0 out=0,0 hv=0,0
10:07:53 tp raw=-3,-3 out=0,0 hv=0,0
10:07:53 tp raw=-2,0 out=0,0 hv=0,0
10:07:53 tp raw=-2,0 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=5,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=-6,-2 out=-3,0 hv=0,0
10:07:53 tp raw=-2,-1 out=0,0 hv=0,0
10:07:53 tp raw=5,0 out=0,0 hv=0,0
10:07:53 tp raw=0,-4 out=0,0 hv=0,0
10:07:53 tp raw=0,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
